On 12/11/2020 at 16:47:38, Price: $6.99
On 14/11/2020 at 20:14:14, Price: $6.99
On 15/11/2020 at 15:24:49, Price: $6.99
On 15/11/2020 at 15:52:18, Price: $6.99
On 15/11/2020 at 15:55:28, Price: $6.99
On 16/11/2020 at 14:28:32, Price: $6.99
On 16/11/2020 at 14:45:02, Price: $6.99
On 16/11/2020 at 14:50:24, Price: $6.99
On 16/11/2020 at 14:53:46, Price: $6.99
On 17/11/2020 at 13:11:17, Price: $7.29
On 18/11/2020 at 09:48:24, Price: $7.29
On 18/11/2020 at 14:31:05, Price: $7.29
On 18/11/2020 at 14:34:36, Price: $7.29
On 19/11/2020 at 18:09:06, Price: $7.29
On 21/11/2020 at 18:14:40, Price: $7.29
On 22/11/2020 at 21:30:16, Price: $7.29
On 23/11/2020 at 13:06:16, Price: $7.29
On 23/11/2020 at 13:11:10, Price: $7.29
On 24/11/2020 at 19:16:34, Price: $7.29
On 25/11/2020 at 21:04:21, Price: $7.29
On 27/11/2020 at 13:35:40, Price: $7.29
On 28/11/2020 at 18:49:27, Price: None
On 03/12/2020 at 10:27:15, Price: None
On 03/12/2020 at 10:29:34, Price: None
On 03/12/2020 at 10:29:58, Price: None
On 03/12/2020 at 10:30:49, Price: $6.99
On 03/12/2020 at 10:33:20, Price: $6.99
On 03/12/2020 at 10:44:26, Price: $6.99
On 03/12/2020 at 10:57:33, Price: $6.99
On 03/12/2020 at 11:29:12, Price: $6.99
On 06/12/2020 at 20:03:24, Price: $6.99
On 07/12/2020 at 17:22:23, Price: $6.99
On 11/12/2020 at 15:26:18, Price: $6.99
